year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1867,Temperate,Europe,0.3454,0.0575,1,0.023
1867,Temperate,North America,0.4574,0.0524,1,0.103
1867,Temperate,Ocean / Unclassified,0.648,0.0629,2,0.1494
1867,Temperate,South America,0.5303,0.0556,1,0.1611
1867,Tropical,Africa,0.4543,0.0455,2,0.0758
1867,Tropical,Asia,0.577,0.1183,1,0.1718
1867,Tropical,Australia-Oceania,0.5498,0.0865,1,0.149
1867,Tropical,North America,0.633,0.0104,1,0.0208
1867,Tropical,Ocean / Unclassified,0.6654,0.0748,2,0.1594
1867,Tropical,South America,0.3641,0.0556,1,0.1778
1868,Polar,Antarctica,0.8354,0.0139,1,0.1123
1868,Polar,Asia,0.5666,0.0345,2,0.0733
1868,Polar,Europe,0.5425,0.0,0,0.0682
1868,Polar,North America,0.6382,0.025,1,0.0625
1868,Polar,Ocean / Unclassified,0.8134,0.0112,1,0.0373
1868,Temperate,Africa,0.5592,0.0741,1,0.0852
1868,Temperate,Antarctica,0.6433,0.0278,1,0.1042
1868,Temperate,Asia,0.3523,0.0351,1,0.0772
1868,Temperate,Australia-Oceania,0.5519,0.0245,1,0.0343
1868,Temperate,Europe,0.3397,0.0172,1,0.0172
1868,Temperate,North America,0.4562,0.076,2,0.147
1868,Temperate,Ocean / Unclassified,0.6463,0.018,2,0.0584
1868,Temperate,South America,0.5264,0.0444,1,0.1111
1868,Tropical,Africa,0.4618,0.1364,2,0.2152
1868,Tropical,Asia,0.5846,0.1298,2,0.1756
1868,Tropical,Australia-Oceania,0.5537,0.0096,1,0.1058
1868,Tropical,North America,0.6544,0.1667,1,0.1458
1868,Tropical,Ocean / Unclassified,0.6618,0.061,2,0.1024
1868,Tropical,South America,0.3549,0.0,0,0.0222
1869,Polar,Antarctica,0.8363,0.0174,1,0.1308
1869,Polar,Asia,0.5604,0.0172,2,0.0517
1869,Polar,Europe,0.5523,0.1364,1,0.1364
1869,Polar,North America,0.6399,0.025,1,0.0344
